Name,Nickname,Date,Message
Romeo Van Snick,romeovs,2024-05-01 23:22:11+00:00,"Combine columns (#42021)

* [MLv2] Add `preview-expression` to eval an expression on sample data

This is needed to show the previews in the UX for the combining columns
epic #39977.

Fixes #39979.

* [MBQL lib] Add ""Combine columns"" drill-thru

This is following the original plan of using a drill for this. It's hard
to combine that with the ""preview"" functionality.

See [thread](https://metaboat.slack.com/archives/C06P22KS4JH/p1712264174056569)
for discussion of how we might approach that issue.

Fixes #39978.

* [MBQL lib] Add ""Combine columns"" drill-thru

This is following the original plan of using a drill for this. It's hard
to combine that with the ""preview"" functionality.

See [thread](https://metaboat.slack.com/archives/C06P22KS4JH/p1712264174056569)
for discussion of how we might approach that issue.

Fixes #39978.

* [MLv2] Add `preview-expression` to eval an expression on sample data

This is needed to show the previews in the UX for the combining columns
epic #39977.

Fixes #39979.

* [MLv2] Add `preview-expression` to eval an expression on sample data

This is needed to show the previews in the UX for the combining columns
epic #39977.

Fixes #39979.

* Revert ""Merge branch 'mblib-preview-expressions' into combine-columns""

This reverts commit dac17f84aaae09906a206106290f7f58dea659bd, reversing
changes made to 2934fab19db495ca8104801d41bc8aba457e401f.

* Revert ""Merge branch 'mblib-preview-expressions' into combine-columns""

This reverts commit 2934fab19db495ca8104801d41bc8aba457e401f, reversing
changes made to 6a43c22e78fb616c7ac0b024811b2989a1ae0f20.

* Revert ""Merge branch 'mblib-preview-expressions' into combine-columns""

This reverts commit 6a43c22e78fb616c7ac0b024811b2989a1ae0f20, reversing
changes made to 2257333a8ae69f0c9a6f6fdf0c8f5d837263f97a.

* [FE] ""Combine columns"" drill thru (#40082)

* Type Section['icon'] properly, including the hack for summarize section

* Add combine columns section

* Add types for combine columns drill

* Add combine columns drill component stub

* Mock combine columns drill

* Add component stub

* Encapsulate typing hacks

* Extract CombineColumnsDrill

* Extract ColumnAndSeparatorRow

* Improve naming, add button to edit separators

* Translate string

* Improve styling

* Separator input

* Handle removing columns

* Rename lib.ts to utils.ts

* Implement onSubmit

* Add getNextColumnAndSeparator

* Use form for a11y

* Handle vertical overflow

* Handle horizontal overflow

* Extract formatSeparator

* Use proper translations

* Adjust min/max sizes

* Fix scrollbar being unnecessarily shown

* Display source column name

* Avoid serializing the entire column and putting it into DOM

* Use module.css extension

* Format code

* Improve a11y

* Mock combineColumnsDrillExpression and previewExpression

* Add Preview component

* Move preview logic to Preview component

* Style Preview

* Format code

* Move styles to CSS modules

* Update UI to latest designs
- move ""Add another column"" button
- remove ""Separated by X"" button
- always show separator inputs

* Remove displayInfo mock

* Add asReturned

* Update CombineColumnsDrillThruInfo

* Integrate new way of working with combine columns drill

* Fix generating expression names

* Integrate drill with click actions

* Integrate new preview workflow

* Revert ""Update UI to latest designs""

This reverts commit cda039dffe9d452c0866f63800e2e887a540fe67.

* Use previewExpression interface correctly

* Use new preview_expression API

* Make sure columns are created with original query and stage index

* Extract usePreview and handle preview errors

* Update popover title

* Move add column button

* Fix outline being cut off

* Style preview label as per design

* Format empty separator

* Make preview scrollable

* Use project convention

* Simplify ScrollArea usage

* Use ScrollArea in CombineColumnsDrill

* Update comment

* Remove Lib.previewExpression

* Clean up the preview after removing Lib.previewExpression

* Implement getPreview

* Change default column preview to 'text'

* Remove usePreview hook which is no longer in use

* Rename Preview to Example

* Use different placeholder for separator input

* Add whitespace placeholder

* Add ColumnPicker boilerplate

* Export Input

* Use QueryColumnPicker for ColumnPicker

* Pass width to AccordionList

* Add sequences popover events with tippy

* Remove unused ColumnOption helpers

* Add testid to Example

* Add e2e test for combine column in header

* Select content of separator input on focus

* Reduce padding on example

* Add monospace variant to Text

* Use monospace variant in Example

* Use monospace font in textinput

* Match faux-select label styles to our TextInput label styles

* Add missing color

* Remove !important

* Use pre whitespace so consecutive spaces show up

* Remove empty default

* Add example for boolean

* Remove !important

* Use should.have text over contain

---------

Co-authored-by: Romeo Van Snick <romeo@romeovansnick.be>

* Remove duplicated code

* Export useMantineTheme from metabase/ui

* Use useMantineTheme instead of reading theme directly

* Remove setTimeout in popover

* Use plain t instead of jt

* Move Popover dropdown sequence hack to metabase/ui

---------

Co-authored-by: Braden Shepherdson <braden@metabase.com>
Co-authored-by: Kamil Mielnik <kamil@kamilmielnik.com>"
Uladzimir Havenchyk,uladzimirdev,2024-05-02 01:51:20+00:00,Drop unused isDashboardParameterWithoutMapping function (#42103)
Alex Yarosh,alexyarosh,2024-05-02 04:21:27+00:00,"[docs] use SSO for MFA (#42084)

* mfa

* plans"
Alex Yarosh,alexyarosh,2024-05-02 04:23:19+00:00,surface dashboard width in toc (#42083)
Alex Yarosh,alexyarosh,2024-05-02 04:24:40+00:00,"[docs] Add ""check table visibility"" to troubleshooting guide (#42072)

* check visibility

* more precise

* Update docs/troubleshooting-guide/cant-see-tables.md"
Alex Yarosh,alexyarosh,2024-05-02 04:24:57+00:00,cast (#42064)
Alex Yarosh,alexyarosh,2024-05-02 04:25:14+00:00,"[docs] Custom destinations in static embedding (#42080)

* custom destinations in static embedding

* Update docs/embedding/static-embedding.md

Co-authored-by: Jeff Bruemmer <jeff.bruemmer@gmail.com>

---------

Co-authored-by: Jeff Bruemmer <jeff.bruemmer@gmail.com>"
Alex Yarosh,alexyarosh,2024-05-02 04:28:26+00:00,"[docs] Use SQL questions as sources for other questions (#42077)

* sql questions

* Update docs/questions/native-editor/writing-sql.md

Co-authored-by: Jeff Bruemmer <jeff.bruemmer@gmail.com>

* Update docs/questions/native-editor/writing-sql.md

Co-authored-by: Jeff Bruemmer <jeff.bruemmer@gmail.com>

---------

Co-authored-by: Jeff Bruemmer <jeff.bruemmer@gmail.com>"
Aleksandr Lesnenko,alxnddr,2024-05-02 04:35:27+00:00,"support unpinning line charts from zero, pinning scatter charts to zero (#41672)"
Phoomparin Mano,heypoom,2024-05-02 16:31:16+00:00,"Expose theme property to metabase provider in embedding SDK (#42050)

* expose theme property in MetabaseProvider

* add more descriptions on what the theme overrides are for"
Uladzimir Havenchyk,uladzimirdev,2024-05-02 16:57:01+00:00,Fix typo in the file name (#42102)
Ngoc Khuat,qnkhuat,2024-05-02 17:54:14+00:00,"Comment out failing snowflake test sync-dynamic-tables-test (#42145)

* Comment out failing snowflake test sync-dynamic-tables-test

* unrelated indent"
lbrdnk,lbrdnk,2024-05-02 19:07:39+00:00,Skip flaky test (#42120)
Ngoc Khuat,qnkhuat,2024-05-02 19:15:53+00:00,Fix mongo OOM during sync (#42140)
Nemanja Glumac,nemanjaglumac,2024-05-02 20:02:00+00:00,Fix/update the hard coded `description` fields in containers action (#42149)
Phoomparin Mano,heypoom,2024-05-02 20:59:25+00:00,"Verify Metabase's theme is merged with user-supplied theme overrides (#42142)

* ensures metabase theme override is merged with user-supplied theme

* ensure both metabase and user themes are merged

* ensure existing theme override is applied

* add tests for default text colors"
Nemanja Glumac,nemanjaglumac,2024-05-02 21:11:27+00:00,Enable Mongo tests to run in the stress-test action (#42162)
Nick Fitzpatrick,npfitz,2024-05-02 21:17:51+00:00,"41994 command pallet search descriptions (#42117)

* Adding Descriptions to search results in palette

* Palette Results List component

* adjusting e2e and unit tests

* type fix

* removing duplicate theme font

* fix typo, palette types adjustment"
Phoomparin Mano,heypoom,2024-05-02 22:39:07+00:00,"Apply mantine color palette to cartesian chart labels (#42148)

* use palette for rendering

* add unit tests for chart label colors

* cleanup test code

* update unit test name

* cleanup color handler

* use theme.fn.themeColor to get color"
Nemanja Glumac,nemanjaglumac,2024-05-02 23:23:05+00:00,"Fix E2E Repro #42065 failure (#42161)

* Explicitly wait for the result to load

* Remove the drill-through part from the repro"
Abed Habli,abdhabli,2024-05-03 00:55:48+00:00,[docs] Add Pathway for Email Settings Configuration (#42091)
Jeff Bruemmer,jeff-bruemmer,2024-05-03 01:39:07+00:00,add 49.8 to list of releases (#42174)
Nick Fitzpatrick,npfitz,2024-05-03 01:40:42+00:00,"42078 palette search links (#42167)

* Items as links

* unit tests"
Alex Yarosh,alexyarosh,2024-05-03 01:56:00+00:00,remove trailing slash (#42177)
Romeo Van Snick,romeovs,2024-05-03 02:14:09+00:00,"Add analytics event for extract column in chill mode (#41774)

* Add trackColumnExtractViaHeader helper

* Add Lib.extract wrapper

* Track column extractions via header

* Fix analytics event name

* Add tests for extract action analytics

* Set up extractions metadata helper

* Use functionsUseByExtraction in analytics

* Add custom type for ExtractionTag

* Use ExtractionTag in analytics

* [MBQL lib] Add `Lib.columnExtractDrillExtractions`

This gets the extractions from a column-extract drill, which is needed
in the UI.

* Add extractionExpression wrapper

* Add extractionsForDrill helper

* Fix type signature of extractionExpression

* Use expressionParts for getting expression function

* Walk expression to get functions used

* Simplify ColumnExtractionTag

* Fix expected expression

* Be more explicit with what the guard does

---------

Co-authored-by: Braden Shepherdson <braden@metabase.com>"
Alex Yarosh,alexyarosh,2024-05-03 03:03:05+00:00,"[docs] Add TOC to a few articles (#42181)

* add TOC to Jetty article

* add ToC for debian article

* vvariables

* Update docs/installation-and-operation/running-metabase-on-debian.md

Co-authored-by: Jeff Bruemmer <jeff.bruemmer@gmail.com>

---------

Co-authored-by: Jeff Bruemmer <jeff.bruemmer@gmail.com>"
Noah Moss,noahmoss,2024-05-03 03:03:32+00:00,"Optimize loading of admin permissions pages (add skip_fields flag to database metadata endpoint) (#42062)

* add skip_fields flag to database metadata endpoint

* skips loading fields on database metadata requests while on admin permissions pages

---------

Co-authored-by: Sloan Sparger <sloansparger@gmail.com>"
Uladzimir Havenchyk,uladzimirdev,2024-05-03 03:40:41+00:00,Restore mapping and filter settings when user switches operator type to the saved (#42076)
Braden Shepherdson,bshepherdson,2024-05-03 04:03:33+00:00,"[QP] Support `:temporal-unit` parameters on MBQL queries (#42116)

This is a new parameter `:type` (and `:widget-type`) to choose a time
granularity (a `:temporal-unit`, eg. `month`, `day`, `day-of-week`)
which should replace the unit on the target field for the parameter.

The target field should be a breakout with a temporal type (date,
datetime) that's compatible with the input unit. The value of the
parameter should be a string or keyword naming one of the units:
`""month""`, `:month`.

Part of #42118."
Uladzimir Havenchyk,uladzimirdev,2024-05-03 04:23:21+00:00,"Cleanup parameters popover (#42107)

* Cleanup parameters popover

* Convert to ts

* Drop comment

* Convert dashboard-options to TS"
Jeff Bruemmer,jeff-bruemmer,2024-05-03 05:13:42+00:00,docs -  generate environment variables (#41802)
Cam Saul,camsaul,2024-05-03 07:50:45+00:00,"Window functions should use all breakouts except first for partitioning (#42131)

* Window functions should use all breakouts except first for partitioning

* Update the offset() test

* Update tests

* Rework how we use driver escape-alias in MLv2; fix Oracle

* PR feedback

* Test fixes :wrench:"
Cam Saul,camsaul,2024-05-03 07:54:20+00:00,"Fix LegacyMetric/Segment macroexpansion with definitions using ancient MBQL (#42087)

* Fix LgeacyMetric/Segment macroexpansion with definitions using ancient MBQL 2

* Remove stray println

* PR feedback"
Aleksandr Lesnenko,alxnddr,2024-05-03 09:12:08+00:00,fix replace missing values with zeros on time series (#42058)
Cam Saul,camsaul,2024-05-03 12:41:07+00:00,"MLv2: Simplify MetadataProvider protocols (16 methods/3 protocols => 7 methods/2 protocols) (#42070)

* Simplified MetadataProvider protocol

* Test fix

* Ok make CachedMetadataProvider a separate schema again after all.

* Consolidate the Metadata schemas

* Clean Kondo warnings

* Malli-ify the stuff in metabase.lib.metadata.protocols

* Fix Kondo warnings

* Test fix :wrench:

* PR feedback"
Romeo Van Snick,romeovs,2024-05-03 13:48:28+00:00,"Add tests for url and email columns (#42144)

* Add test for email extractions

* Fix swapped domain and host examples

* Add tests for URL columns

* Fix examples for shortcut too

* Use arrow function instead of function"
Phoomparin Mano,heypoom,2024-05-03 14:35:46+00:00,remove chart root padding when in embedding environment (#42164)
Romeo Van Snick,romeovs,2024-05-03 17:00:09+00:00,Fix broken test in drill extraction (#42202)
Romeo Van Snick,romeovs,2024-05-03 18:40:52+00:00,"Snowplow event for extract action via notebook shortcut (#42095)

* Add helper to track column extractions

* Track column extractions

* Add text for column extraction

* Pass correct extraction to trackColumnExtractViaShortcut"
Romeo Van Snick,romeovs,2024-05-03 18:41:13+00:00,"Add snowplow event for combining columns via chill mode header (#42173)

* Add snowplow event for column combine via header

* Add test for snowplow event

* Remove unnecessary within wrapper

* Fix linting issues"
Braden Shepherdson,bshepherdson,2024-05-03 19:42:34+00:00,"Add a few tests for time granularity parameters (#42119)

The API/model schemas for dashboard parameters are general enough
that they just work for this new type, which doesn't look very different
from a value parameter right now.

Part of #42118."
Ngoc Khuat,qnkhuat,2024-05-03 19:47:34+00:00,Fix Bigquery can't sync materialized views (#42092)
Raphael Krut-Landau,rafpaf,2024-05-03 21:42:59+00:00,"Enable customization of columns in ItemsTable (#41777)

Lets the `ItemsTable` component have customizable columns.

The logic for this is contained in `BaseItemsTable`. This is preliminary work for #41614

This doesn't introduce any new UI, but there is a unit test for the new logic.

The main thing to check is whether the table on the collections page stills work correctly. Note how the columns adjust as you resize the viewport horizontally. (In fact, the columns will sometimes adjust as you close and open the sidebar, because the width they are paying attention to is the width of the area to the right of the sidebar.)

Closes #41908"
Mahatthana (Kelvin) Nomsawadi,WiNloSt,2024-05-03 22:03:28+00:00,"Fix InteractiveQuestion loader show no question before loaded (#42208)

* Fix InteractiveQuestion loader show no question before loaded

* Add tests

* Unskip a test"
Anton Kulyk,kulyk,2024-05-03 22:33:23+00:00,"Add viz settings to manage line style and thickness to line/area charts (#42043)

* Rename ""Line style"" to ""Line shape""

* Add ""line.style"" viz setting

* Add ""line.size"" viz setting

* Apply new viz settings in line/area charts

* Clean up `ChartSettings` test suite

* Fix default values not applied

* Add visual test

* Add E2E test

* Rework default values

* Use constant S/M/L values for ""line.size"" setting"
Mahatthana (Kelvin) Nomsawadi,WiNloSt,2024-05-03 22:52:56+00:00,"Update readme adding more ways to run Metabase (#42217)

* Update readme adding more ways to run Metabase

* Remove running from `master` because it could break

* Update enterprise/frontend/src/embedding-sdk/README.md

Co-authored-by: Alberto Perdomo <albertoperdomo@users.noreply.github.com>

* Update disclaimer, makes it more obvious

---------

Co-authored-by: Alberto Perdomo <albertoperdomo@users.noreply.github.com>"
Nicolò Pretto,npretto,2024-05-03 23:39:25+00:00,"Embed homepage, MS4 (#41990)

* use css modules instead of inline styles for cursor: default (#41644)

* add toast notification after the feedback (#41575)

* fix modal submit sending data while button says skip (#41784)

* fix: it should not send the feedback if button says skip

* add comment explaining why we check that getLastFeedbackCall() is undefined

* embedding homepage analytics (#41725)

* rename defaultTab -> initialTab

* add events schema for embedding-homepage

* fix stories

* add analytics, e2e tests and fix typo in dismiss reason

* copy embed_flow schema for better diff in the next commit

* adds isExampleDashboard to trackStaticEmbedPublished

* utm tags

* fix bug of is_example_dashboard

* better test names

* refactor embed homepage status type

* ""() => {}"" => ""_.noop""

* add ""Setup embedding"" to the admin setup checklist (#41638)

* add setup embedding to the admin setup checklist

* restore whitespace as it was before

* i miss prettier (whitespace again)

* Clean up check list for embedding

Largely making a new entry for the embedding info just to fight long
lines. `:embedding-homepage-dismissed-as-done` just made the maps really
long. If we have a `:done?` under an `:embedding` keyword it reads much
more naturally.

Also, The previous diff was calling `boolean` on a var rather than
invoking the var:

```clojure
:embedding-app-origin (boolean embed.settings/embedding-app-origin)
;;                             ^^^^^^^^^^^^^^ needs to be (invoked)
```

---------

Co-authored-by: dan sutton <dan@dpsutton.com>

* Change utm tags for embedding homepage links (#42042)

* update utm tags

* utm_media -> utm_content

* add description to the checklist setup step (#42200)

---------

Co-authored-by: dan sutton <dan@dpsutton.com>"
Phoomparin Mano,heypoom,2024-05-04 00:12:15+00:00,"Define public metabase theme and Mantine transformer for embedding SDK (#42207)

* public metabase theme type

* add tests for transforming embedding theme

* export public types

* load transformed theme override into theme provider

* migrate font family inside theme configuration

* add assertion for font family

* update README to add font family in theme options

* add font enum, fix tuple type and cleanup tests

* color tuple argument name

* use fill for colortuple"
Alex Yarosh,alexyarosh,2024-05-04 00:30:21+00:00,"[docs] A bit more details about API (#42137)

* api details

* Update docs/installation-and-operation/serialization.md

Co-authored-by: Jeff Bruemmer <jeff.bruemmer@gmail.com>

---------

Co-authored-by: Jeff Bruemmer <jeff.bruemmer@gmail.com>"
Jeff Bruemmer,jeff-bruemmer,2024-05-04 00:43:20+00:00,docs - update filter docs (#42169)
Uladzimir Havenchyk,uladzimirdev,2024-05-04 00:51:26+00:00,Adjust styles of the single active tab in parameter sidebar (#42209)
Vamsi Peri,perivamsi,2024-05-04 01:10:22+00:00,"Update feature_request.md (#42232)

Remove the language for how important is this feature to you"
John Swanson,johnswanson,2024-05-04 03:50:24+00:00,"Add `can_write` to /collection/:id/items (#42184)

For dashboards and cards/models only."
bryan,escherize,2024-05-04 09:44:00+00:00,fix a regex validation (#42251)
lbrdnk,lbrdnk,2024-05-05 21:01:53+00:00,Add new Druid JDBC driver (#40293)
Cal Herries,calherries,2024-05-06 15:04:54+00:00,Use database-supports? instead of hard-coded driver in `dataset-with-custom-pk-test` (#42224)
Abed Habli,abdhabli,2024-05-06 19:05:57+00:00,"Added Key Authentication Option to SSH Tunneling Docs (#42206)

* Update ssh-tunnel.md

Add SSH key authentication option to SSH tunneling docs

* Update docs/databases/ssh-tunnel.md

Co-authored-by: Jeff Bruemmer <jeff.bruemmer@gmail.com>

* Update docs/databases/ssh-tunnel.md

Co-authored-by: Jeff Bruemmer <jeff.bruemmer@gmail.com>

* Update docs/databases/ssh-tunnel.md

Co-authored-by: Jeff Bruemmer <jeff.bruemmer@gmail.com>

---------

Co-authored-by: Jeff Bruemmer <jeff.bruemmer@gmail.com>"
Alexander Polyankin,ranquild,2024-05-06 19:32:26+00:00,Fix wrapping in QueryColumnPicker (#42246)
Jeff Bruemmer,jeff-bruemmer,2024-05-07 01:10:41+00:00,docs - field type metadata (#41223)
John Swanson,johnswanson,2024-05-07 01:22:52+00:00,Add `can_write` to cards/dashboards in Search (#42276)
Emmad Usmani,EmmadUsmani,2024-05-07 01:48:07+00:00,"add percent change to timeseries tooltip (#42059)

* add percent change to timeseries tooltip

* move computeChange to lib/numeric

* cleaning up code in numeric.js

* color text

* add unit to key

* move change to tooltip footer

* fix extra bottom spacing

* remove color

* handle gaps in data

* clean up code

* add change to funnel tooltip

* move retained to footer in funnel

* update copy

* remove min decimal count

* rename events.tsx -> events.ts

* add test cases to line-bar-tooltips.cy.spec.js

* add specs for edge cases

* readd exports to fix numeric.unit.spec.js

* don't show for change for scatterplot

* translate retained

* use parseTimestamp instead of String

* handle quarter interval

* remove redundant dayjs calls

* handle quarter with Feburary correctly"
Uladzimir Havenchyk,uladzimirdev,2024-05-07 01:48:45+00:00,Improve types for ParameterSettings (#42269)
bryan,escherize,2024-05-07 02:18:16+00:00,adds diagnostic info to troubleshooting (#42283)
bryan,escherize,2024-05-07 02:22:41+00:00,new version fixes saml20 issues (#42286)
Aleksandr Lesnenko,alxnddr,2024-05-07 02:23:56+00:00,"Fix x-axis time series interval computation when x-values include nulls (#42292)

* add chart model logging

* fix x-axis time series interval computation when x-values include nulls"
Ryan Laurie,iethree,2024-05-07 04:53:25+00:00,"Make bulk action bar reusable (#42296)

* Make bulk action bar reusable

* unify bulk action usage

* skip obsolete test"
Ryan Laurie,iethree,2024-05-07 05:50:29+00:00,"Entity picker/new search item component (#42009)

* add new entity picker result item

* simplify types

* enterprise icon fixes

* unit test fixes

* design updates

* address PR comments

* remove poorly implemented tooltip

* fix unit test

* simplify spinner situation"
Aleksandr Lesnenko,alxnddr,2024-05-07 06:48:08+00:00,fix tooltip shows data for different X value (#42299)
Ryan Laurie,iethree,2024-05-07 06:58:08+00:00,"Basic Table Component (+ use it for API Keys) (#42287)

* add basic table component

* use basic table in api keys UI

* tweak padding

* replace test id

* update e2e test ids"
Tim Macdonald,tsmacdonald,2024-05-07 14:26:57+00:00,"Remove unusued code paths for automagic filtering (#42098)

* Remove unusued code paths for automagic filtering

All the way from 2018!

* Use pre-computed value"
Ngoc Khuat,qnkhuat,2024-05-07 14:30:02+00:00,Send pulses in parallel (#41772)
Romeo Van Snick,romeovs,2024-05-07 15:47:39+00:00,"Fix combine extract column drill icons (#42297)

* Use extract column icon for column extraction drill thru

* Use combine column icon for column combine drill thru"
Ngoc Khuat,qnkhuat,2024-05-07 19:17:23+00:00,fix sync dynamic table (#42312)
Kamil Mielnik,kamilmielnik,2024-05-07 19:50:30+00:00,"Remove snippets from search types (#42315)

* Remove snippets in search models
- They're not supported, see model-to-db-model in search/config.clj

* Fix TS error

* Fix TS error"
Mahatthana (Kelvin) Nomsawadi,WiNloSt,2024-05-07 21:24:02+00:00,"Update the README to document some SDK quirks (#42332)

* Update the README to document some SDK quirks

* Address review"
Aleksandr Lesnenko,alxnddr,2024-05-07 21:53:21+00:00,add chart logging own env var (#42334)
Mahatthana (Kelvin) Nomsawadi,WiNloSt,2024-05-07 22:04:00+00:00,Fix Embedding SDK calling admin endpoint (#42327)
dpsutton,dpsutton,2024-05-07 22:21:16+00:00,"Silence `abs` warning on startup (#42311)

before:

```clojure
❯ clj -M:""$ALIASES""
Warning: environ value /Users/dan/.sdkman/candidates/java/current for key :java-home has been overwritten with /Users/dan/.sdkman/candidates/java/21.0.2-tem
WARNING: abs already refers to: #'clojure.core/abs in namespace: clojure.algo.generic.math-functions, being replaced by: #'clojure.algo.generic.math-functions/abs
2024-05-07 04:39:37,890 INFO metabase.util :: Maximum memory available to JVM: 8.0 GB
```

after:

```clojure
❯ clj -M:""$ALIASES""
Warning: environ value /Users/dan/.sdkman/candidates/java/current for key :java-home has been overwritten with /Users/dan/.sdkman/candidates/java/21.0.2-tem
2024-05-07 04:40:42,561 INFO metabase.util :: Maximum memory available to JVM: 8.0 GB
```

Now no warning about `abs`"
Nick Fitzpatrick,npfitz,2024-05-07 22:51:07+00:00,"41901 command palette search view all (#42179)

* initial attempt

* search button

* small adjustments

* adding back the search bar

* adding an extra check in e2e

* i18n adjustment

* impls pr feedback

---------

Co-authored-by: Sloan Sparger <sloansparger@gmail.com>"
Romeo Van Snick,romeovs,2024-05-07 23:00:32+00:00,"Allow duplicate ""combine column"" columns in chill mode (#42314)

* Add suffix to name if column already exists

* Add test for duplicate combine columns

* Use direct question in test

Co-authored-by: Kamil Mielnik <kamil@kamilmielnik.com>

* Fix formatting

* Use createQuestion for other tests too

* Fix table references

---------

Co-authored-by: Kamil Mielnik <kamil@kamilmielnik.com>"
Cam Saul,camsaul,2024-05-08 02:04:31+00:00,"Only nest expressions referenced in breakouts or aggregations (#42302)

* Only nest expressions referenced in breakouts or aggregations

* Test fixes :wrench:

* Oracle test update

* Improved Oracle test"
Ryan Laurie,iethree,2024-05-08 02:53:09+00:00,"Make Z-indexes a bit more sane (#42272)

* Add back entity picker search item tooltip

This reverts commit 7fbf839e415f717633e223c34600655ca2865181.

* make z-indexes a bit more sane

* fix rebase"
Cam Saul,camsaul,2024-05-08 03:05:27+00:00,"Support `Offset()` as an expression with no breakouts [backend] (#42132)

* Only nest expressions referenced in breakouts or aggregations

* Support Offset() as expression with no breakouts

* Test fixes :wrench:

* Oracle test update

* Improved Oracle test

* Test update :wrench:

* Fix busted test

* Fix running and saving Offset over the REST API

* Remove stray :wow

* More test fixes :wrench:"
Cam Saul,camsaul,2024-05-08 03:09:48+00:00,"Don't optimize temporal filters with unbucketed exprs against relative datetimes (#42310)

* Don't optimize [:between <expr w/ :default bucketing> <relative-datetime> ...] filters

* Update tests :wrench:"
Alexander Solovyov,piranha,2024-05-08 13:51:24+00:00,Backfill QueryField on Metabase startup (#42279)
Nemanja Glumac,nemanjaglumac,2024-05-08 14:07:55+00:00,Allow multiple values for string operators in the query builder (#42101)
Ngoc Khuat,qnkhuat,2024-05-08 14:30:23+00:00,Fix failed to upgrade when instances have obsolete 3rd party drivers (#42369)
Mahatthana (Kelvin) Nomsawadi,WiNloSt,2024-05-08 14:55:13+00:00,Bump published SDK version (#42340)
Mahatthana (Kelvin) Nomsawadi,WiNloSt,2024-05-08 16:17:15+00:00,Simplify code (#42374)
