Name,Nickname,Date,Message
Romeo Van Snick,romeovs,2024-05-30 15:16:30+00:00,"Minor design updates to multi select (#43292)

* Add color to icon directly

* Remove unused css file

* Only show info icon when the field is focussed

* Use metabase blue for background on value tags

* Use larger font size for value labels

* Make the value labels bold

* Tweak padding on search input

* Move custom MultiAutocomplete styles to MultiSelect overrides and adapt to accept xs size too"
Uladzimir Havenchyk,uladzimirdev,2024-05-30 15:14:53+00:00,Optimize DashboardHeader rendering by using selector (#43123)
Uladzimir Havenchyk,uladzimirdev,2024-05-30 14:33:56+00:00,Avoid heavy calculations on dashboard fetching (#43340)
Anton Kulyk,kulyk,2024-05-30 14:30:13+00:00,Revalidate x-axis scale when graph.dimensions change (#43254)
Alexander Polyankin,ranquild,2024-05-30 14:24:49+00:00,Force loading metadata before queries (#43369)
metamben,metamben,2024-05-30 13:46:04+00:00,"Leave viz-setting part as is if normalization fails (#43336)

Fixes #43089."
Ryan Laurie,iethree,2024-05-30 13:10:24+00:00,Combine models repro specs (#43342)
Ryan Laurie,iethree,2024-05-30 13:10:12+00:00,"Combine question e2e reproductions into fewer specs in a different job (#43271)

* combine question reproductions into one spec

* split question reproductions

* split reproductions three ways

* fix sample db id"
Alexander Polyankin,ranquild,2024-05-30 12:37:26+00:00,Fix getMappingOptionByTarget perf (#43339)
Anton Kulyk,kulyk,2024-05-30 12:04:27+00:00,"Fix relative/internal links in table viz (#43303)

* Use internal Link for relative and same-origin URLs

* Update frontend/test/metabase/lib/formatting.unit.spec.js

Co-authored-by: Uladzimir Havenchyk <125459446+uladzimirdev@users.noreply.github.com>

* Update frontend/test/metabase/lib/formatting.unit.spec.js

Co-authored-by: Uladzimir Havenchyk <125459446+uladzimirdev@users.noreply.github.com>

---------

Co-authored-by: Uladzimir Havenchyk <125459446+uladzimirdev@users.noreply.github.com>"
Alexander Polyankin,ranquild,2024-05-30 11:32:42+00:00,Load metadata before queries (#43354)
Phoomparin Mano,heypoom,2024-05-30 11:24:43+00:00,"feat(sdk): pivot table color customizations (#43201)

* feat(sdk): colors for pivot tables

* fix theme type

* feat(sdk): basic pivot table theming

* fix emphasis hover color

* customizable row toggle color

* add storybook story and refactor hover color logic

* add sdk visualization wrapper

* make theme values with defaults internally non-optional but externally optional

* update test to render with providers

* update test wrapper to have height container

* update pivot table loki reference image

* update theme names

* make all theme options optional in the public config

* update readme

* readme update for consistency"
metabase-bot[bot],metabase-bot[bot],2024-05-30 11:05:48+00:00,"Update Readme version references and published npm version to 0.1.5 (#43035)

Co-authored-by: Metabase bot <metabase-bot@metabase.com>
Co-authored-by: Mahatthana (Kelvin) Nomsawadi <me@bboykelvin.dev>"
lbrdnk,lbrdnk,2024-05-30 07:31:01+00:00,"Backfill `:effective-type` for coerced fields (#43144)

- Update how base type and effective type is added in query-method :mbql/query.
- Base type and effective type is added also during the conversion of query-method :query.
- Adds warning suppression for expressions to places where normalize is 
  called something that does not conform schme (eg. ->pMBQL :dispatch-type/map called
  in query-method :query)."
Cal Herries,calherries,2024-05-30 00:11:34+00:00,Fix not being able to upload to a table if the uploads database has switched (#43026)
Sloan Sparger,sloansparger,2024-05-29 23:26:02+00:00,"[WIP] Cloud migration v3 (#43047)

* syncs with BE better for using prod/staging store links

* updates init step, fixes tests

* updates start confirmation modal design

* copy changes

* adjusting unit test

* removing unneeded code

* PR feedback, updating tests

---------

Co-authored-by: Nick Fitzpatrick <nickfitz.582@gmail.com>"
Case Nelson,snoe,2024-05-29 21:21:04+00:00,Single metadata endpoint for a dashboard (#43283)
Alexander Polyankin,ranquild,2024-05-29 19:44:43+00:00,Do not use MBQL lib for parameter fields in dashboards when possible (#43312)
Braden Shepherdson,bshepherdson,2024-05-29 19:24:22+00:00,"[MBQL lib] Add `preview-query` to truncate a query for Notebook preview (#42836)

Fixes #42831.

Co-authored-by: Alexander Polyankin <alexander.polyankin@metabase.com>"
Aleksandr Lesnenko,alxnddr,2024-05-29 17:45:28+00:00,fix edit hash is not removed after editing a dashboard (#43213)
Oisin Coveney,oisincoveney,2024-05-29 17:40:30+00:00,feat(sdk): Add static dashboards to embedding SDK (#41973)
Filipe Silva,filipesilva,2024-05-29 17:11:58+00:00,cloud migration rc1 (#43082)
Anton Kulyk,kulyk,2024-05-29 16:14:53+00:00,"Add font fallbacks to charts rendering context (#43315)

* Use `useBrowserRenderingContext` in most charts

* Add font family fallbacks"
John Swanson,johnswanson,2024-05-29 15:41:50+00:00,"Allow disabling encryption for settings (#43085)

* Allow disabling encryption for settings

For two settings, we want to disable encryption entirely.

On the way out of the data source, we don't need to worry - the
decryption is already backwards-compatible with non-encrypted data.

On the way in, things are a bit less straightforward. The core of the
change is replacing the `t2/deftransform` that *always* runs
`encryption/maybe-encrypt` on the value with:

- a define-after-select that always tries to decrypt the value (so we
can handle existing encrypted values in the db)

- a define-before-insert that encrypts the value if the `defsetting`
told us to, and

- a define-before-update that does the same thing.

For now, set two settings to be never-encrypted: `analytics-uuid` and
`anon-tracking-enabled`."
Kamil Mielnik,kamilmielnik,2024-05-29 14:41:42+00:00,"Time-over-time comparison aggregation helpers (#43081)

* Sort functions

* Add boilerplate for aggregateOffset and tests

* Simplify assertion

* Make basic case work

* Handle name generation

* Do not require ""lib/uuid"" attribute to be present since MLv2 will normalize it under the hood anyway

* Fix typing

* Group tests

* Refactor offsetClause to return a new clause instead of a new query
- Move offsetClause to expressions.ts
- Add assertion

* Revert ""Sort functions""

This reverts commit ab9ce2b24ea6bdad5ff7e9bed8ef38d4b5923f00.

* Move tests

* Handle names dynamically

* Shorten a test

* Update comment

* Add TODO

* Update expression types

* Add diffOffsetClause & percentDiffOffsetClause

* Add a test for diffOffsetClause

* Add TODOs

* Add tests for diffOffsetClause and percentDiffOffsetClause

* Unwrap tests

* Add skeleton for new tests

* Refactor first offsetClause tests

* Add tests for names

* Fix case of non-datetime columns

* Handle a case with offset < 1 and no breakouts

* Handle a case with offset < 1 and breakouts on non-datetime column

* Handle a case with offset < 1 and breakouts binned datetime column

* Handle a case with offset < 1 and breakout on non-binned datetime column

* Refactor

* Refactor

* Remove TODO

* Add tests for diffOffsetClause

* Add tests for percentDiffOffsetClause

* Move offset stuff to offset.ts and offset.unit.spec.ts

* Use template string for prefixes

* Use breakoutColumn + isDate to check column type

* Refactor

* Fix error message

* Use displayName instead shortName"
Romeo Van Snick,romeovs,2024-05-29 11:00:55+00:00,"Update expression suggestion design (#43232)

* Use sentence case for suggestion headers

* Remove suggestion group dividers

* Highlight suggestions when mousing over them

* Remove unused hoverparent

* Remove custom highlighting for icons

* Allow passing color to metadata info icon

* Make suggestions icons have a consisten color

* Update documentation suggestion style

* Add margin to suggestion sections

* Reorder suggestion sections

* Add test for mouse over highlight on suggestions

* Fix test for suggestion footers

* Remove debugging true

* Rename 'Most used functions/aggregations' to 'Common functions/aggregations'

* Highlight suggestion on mouse move

* Only call onHighlightSuggestion if it is not already highlighted

* Use arrow functions

* Fix test for suggestion highlight"
Romeo Van Snick,romeovs,2024-05-29 09:02:53+00:00,"Correctly place ""Add column"" button and allow using it when summarizing (#43189)

* Do not render 'Add column' shortcut when viewing a raw table

* Do not show 'Add column' shortcut when a query has aggregations

* List shortcut guards out of component

* Make 'Add column' icon sticky in the header

* Add test for hiding the column shortcut

* Remove Number wrapper

* Move padding to a constant

* Use actions directly to determine if there are any shortcuts

* Make sure there are expressionable columns for the combine columns shortcut

* Make sure there are extractable columns for the extract column shortcut

* Remove padding when not overflowing

* Do not shadow query in popover components

* Allow combine and extract for raw tables

* Add test for combining summarization columns

* Add test for combining summarization columns

* Use a more precise way of calculating the offset for the 'Add column' button

* Handle null question

* Change to the outline button

* Use actual column widths to calculate total width

* Handle empty mode

* Remove extra measure call

* Move shortcutColumn to separate method and avoid looping over all available actions when possible"
Nicolò Pretto,npretto,2024-05-29 05:59:33+00:00,"Fix multiple origins support by handling invalid origins (#43170)

* Revert ""Revert ""minimal support for multiple values for Access-Control-Allow-Origin (#42888)"" (#43125)""

This reverts commit a4312230a86c66bceea7c278a85658fadb0bd3a1.

* refactor: extracted parse-approved-origins + supported ""*"" without special case

* fix: parse-approved-origins won't break on multiple spaces in a row

* handles invalid urls in the origins + some formatting

* log instead of throwing in parse-url + simplify the logic in parse-approved-origins

* simplify parse-approved-origins logic by splitting on ""at least one space""

* remove extra boolean call

* approved-origins -> approved-origins-raw to better reflect that it's a raw string

* swap the order of the arguments to `is` in the tests

* indentation 🙃"
Phoomparin Mano,heypoom,2024-05-29 05:53:20+00:00,support test utilities in sdk import (#43242)
Raphael Krut-Landau,rafpaf,2024-05-29 03:15:24+00:00,Move model caching form to Admin / Performance (#43143)
metamben,metamben,2024-05-28 23:10:57+00:00,"Return card type in GET /api/table/card__:id/query_metadata (#43203)

* Return card type in GET /api/table/card__:id/query_metadata

Also, stop requesting card metadata in dependent-metadata."
Ryan Laurie,iethree,2024-05-28 22:53:30+00:00,"Improve models table performance (#43149)

* improve models table performance

* add loading state for large sets of models

* less icon padding"
Raphael Krut-Landau,rafpaf,2024-05-28 21:30:50+00:00,"Tweak appearance of cache page and form (#42856)

* squashed branch

* fix form buttons and formpadding

* fix some tests"
Aleksandr Lesnenko,alxnddr,2024-05-28 21:29:52+00:00,use automation user PAT when creating commits in CI workflows (#43250)
Anton Kostenko,Onlinehead,2024-05-28 20:47:23+00:00,Add Git repo SHA to the final image for future tracking (#43260)
Ryan Laurie,iethree,2024-05-28 20:45:58+00:00,"entityPicker in technicolor (#43161)

* entityPicker in technicolor

* more precise import

* add unit test"
Chris Truter,crisptrutski,2024-05-28 20:04:56+00:00,Upgrade zx from 7.2.3 to 8.1.0 (#43054)
Cal Herries,calherries,2024-05-28 19:22:06+00:00,Fix a couple of flaky tests using `with-call-count` (#43248)
Alexander Polyankin,ranquild,2024-05-28 18:36:15+00:00,Fix parameter matching with model columns (#43204)
Ryan Laurie,iethree,2024-05-28 17:05:44+00:00,"Use table2 icon for questions (#43095)

* use table2 icon for questions

* update e2e tests"
Jeff Bruemmer,jeff-bruemmer,2024-05-28 17:04:47+00:00,docs - app db note (#43239)
Cal Herries,calherries,2024-05-28 16:24:25+00:00,A couple of changes to the sample content (#43200)
Jesse Devaney,JesseSDevaney,2024-05-28 15:41:31+00:00,"Implement graceful error handling for trend charts (#43090)

* fix trend charts erroring on latest value being null

* refactor previousRowIndex calculation

* handle errors gracefully

* refactor error messages

* update computeTrend unit tests

* add error handling integration test

* add E2E test to check that errors are gracefully handled

* add integration test to enforce the fix

* fix static viz

* display more meaningful error on static-viz trend charts

* move error handling out of trend chart and fix error handling in Visualization.tsx

* update compute.unit.spec.js

* update SmartScalar.unit.spec.js

* use separate error handler for ErrorBoundary errors in Visualization.jsx

* update E2E test

* update error handling

* update compute.unit.spec.js

* fix react state change error in render function

* show generic error message for ErrorBoundary caught errors

* revert ErrorBoundary changes

* remove generic error border for visualizations"
Jeff Bruemmer,jeff-bruemmer,2024-05-28 15:04:03+00:00,add 49.12 to list of releases (#43236)
Phoomparin Mano,heypoom,2024-05-28 14:17:58+00:00,"feat(sdk): expose color and typography options for smart scalar in embedding SDK (#42915)

* feat(sdk): allow overriding positive and negative values

* docs(sdk): add positive and negative colors to docs

* feat(sdk): add smart scalar font size

* feat(sdk): add smart scalar line height settings

* feat(sdk): get rid of custom embedding mantine theme type

* wip: setup storybook and loki for smart scalar

* fix missing state for rendering visualizations

* docs(sdk): add scalar customizations to readme

* test(sdk): add test cases to loki

* add smart scalar reference image

* use css variables for brand

* make embedding theme options partial

* fix scalar value wrapper line height

* update loki snapshot

---------

Co-authored-by: Aleksandr Lesnenko <alxnddr@gmail.com>"
Kamil Mielnik,kamilmielnik,2024-05-28 14:08:37+00:00,"Disable offset() in custom columns (#43224)

* Disable offset in custom columns

* Remove .only

* Update CLJS tests"
Uladzimir Havenchyk,uladzimirdev,2024-05-28 13:30:49+00:00,Do not ignore icon prop on the Filter button (#43229)
Oisin Coveney,oisincoveney,2024-05-28 12:20:20+00:00,Convert ParametersList to TS (#42822)
Alexander Solovyov,piranha,2024-05-28 12:18:22+00:00,[serdes] unify snowplow analytics in a single event (#43218)
Anton Kulyk,kulyk,2024-05-28 12:15:13+00:00,"Fix rare axis ticks for timeseries axes (#43127)

* Fix typos

* Tweak `maxTicksForChartWidth` calculation

* Update Loki screenshots

* Tweak `PIXELS_PER_CHARACTER`

* Update test"
Romeo Van Snick,romeovs,2024-05-28 11:43:10+00:00,"Allow creating new items by inserting comma in MultiAutocomplete (#42824)

* Pass current values to shouldCreate

* Allow comma to create new item

* Simplify getAvailableSelectItems

* Add unit test for MultiAutocomplete input

* Use text instead of Text in paste

* Handle spaces in MultiAutocomplete

* Remove cast

* Reuse last var

* Use haveLastBeenCalledWith over haveBeenCalledWith

* Handle pasting when there is text in the input already

* Accept quote-delimited values

* Add info icon

* Handle tab as a separator

* Fix test cases for unsanitized parseValues

* Add csv-parse

* Use csv-parse to parse values

* Apply the correct color to the info icon

* Rename util to utils

* Break up tooltip text

* Only return unique values

* Be more accepting around quotes in the middle of unescaped values

* provide Buffer for csv-parse package in storybook

* Use browser-friendly version of csv-parse

* Remove unused eslint rule

* Add specital case for csv-parse to jest config

* Put uniqueness check in each state update

* Only add partial value if it is valid

* Only add partial value if it is valid

* Fix test case for FilterValuePicker

* Just use Set

Co-authored-by: Kamil Mielnik <kamil@kamilmielnik.com>

* Allow parsing more than one value

* Use isValid everywhere it makes sense

* Add test for RTL languages

---------

Co-authored-by: Aleksandr Lesnenko <alxnddr@gmail.com>
Co-authored-by: Kamil Mielnik <kamil@kamilmielnik.com>"
Kamil Mielnik,kamilmielnik,2024-05-28 11:23:51+00:00,"Copy question link from dashboard (#42892)

* Remove dead CSS

* Use proper types

* Properly type parameterValues

* Add href prop support to LegendCaption

* Extract getNewCardUrl
- move getParametersMappedToDashcard

* Use href in CartesianChart

* Handle RowChart

* Handle Funnel

* Format code

* Fix types

* Update first test in title-drill

* Update test

* Update test

* Update tests
- pass questionId in createQuestionAndDashboard

* Add test for links

* Fix createDashboardWithQuestions

* Add missing click handler

* Fix crash

* Fix typo

* Add a workaround for #42999

* Fix tests

* Fix hover color

* Update comment

* Get rid of mapStateToProps in DashboardGrid

* Invert condition

* Use useCallback instead useMemo

* Do not pass getNewCardUrl down if navigateToNewCardFromDashboard is not present
- Remove default noop for navigateToNewCardFromDashboard in PublicDashboard

* Remove explicit undefined prop"
Phoomparin Mano,heypoom,2024-05-28 09:56:01+00:00,"feat(sdk): override chart colors (#42960)

* add color types for chart sdk colors

* simplify chart color types

* chart color mappings

* apply mapping to master branch

* add chart mapping to mantine

* feat(sdk): apply chart accent colors to mantine and color getter

* rename tint and shade

* remove chart color logic from mantine

* add a color mapping test

* docs(sdk): add chart customizations to readme

* add type comments on MappableSdkColor

* cleanup sdk colors"
Mahatthana (Kelvin) Nomsawadi,WiNloSt,2024-05-28 08:05:39+00:00,Fix typo (#43194)
Cal Herries,calherries,2024-05-28 04:06:25+00:00,Fix flaky migration rollback test for mysql: metabase.db.custom-migrations-test/migrate-uploads-settings-test-1 (#43210)
Cal Herries,calherries,2024-05-27 22:51:53+00:00,Don't allow executing archived pivot-table cards in a public dashboard (#43206)
Alexander Polyankin,ranquild,2024-05-27 18:39:39+00:00,Omit checks for dashboard metadata when not needed (#43197)
Case Nelson,snoe,2024-05-27 18:04:14+00:00,"[Metrics V2] Remove legacy-metric metadata (#43134)

* [Metrics V2] Remove legacy-metric metadata

Fixes #43131

* Don't mock metric

* Drop definition_description hydration on legacy metric

* Remove defintion_description tests

* Update src/metabase/lib/metadata.cljc

Co-authored-by: metamben <103100869+metamben@users.noreply.github.com>

---------

Co-authored-by: metamben <103100869+metamben@users.noreply.github.com>"
Cal Herries,calherries,2024-05-27 17:18:46+00:00,"Migrate uploads settings to the db-level behind the scenes, so the uploads DB can be set by the config file (#42869)"
Phoomparin Mano,heypoom,2024-05-27 15:07:52+00:00,docs(sdk): update color reference (#43086)
Uladzimir Havenchyk,uladzimirdev,2024-05-27 12:16:02+00:00,"Avoid unnecessary re-renderings in dashboard - dashboard controls (#43169)

* Avoid unnecessary re-renderings in dashboard - dashboard controls

* Comment"
Kamil Mielnik,kamilmielnik,2024-05-27 11:58:52+00:00,"Fix missing React key prop (#43179)

* Fix missing React key prop

* Fix missing React key prop

* Fix order of conditions and make the code easier to follow"
Uladzimir Havenchyk,uladzimirdev,2024-05-27 11:20:25+00:00,Restructure parameters e2e tests - separate auto-wiring (#42820)
Kamil Mielnik,kamilmielnik,2024-05-27 11:11:20+00:00,"Enable running tagged tests defined in TS (#43172)

* Update & tag a test

* Run tests also on TS files

* Update mongo test"
Alexander Solovyov,piranha,2024-05-27 08:19:06+00:00,[serdes] nested fields should be properly serialized (#43066)
Cal Herries,calherries,2024-05-25 01:02:31+00:00,Fix connection impersonation when jdbc spec is passed (#43147)
metamben,metamben,2024-05-24 22:57:10+00:00,Migrate metrics with display setting scalar (#43160)
metamben,metamben,2024-05-24 22:47:13+00:00,Remove api/legacy-metric (#43133)
metamben,metamben,2024-05-24 20:59:27+00:00,Remove unused card related endpoints (#43141)
Alexander Polyankin,ranquild,2024-05-24 20:38:53+00:00,Optimize initial dashboard load - load dashboard metadata in parallel with the query (#43101)
Nick Fitzpatrick,npfitz,2024-05-24 19:48:02+00:00,"Add media query to search button (#43084)

* add media query to search button

* useSmallScreen hook"
Ryan Laurie,iethree,2024-05-24 19:04:02+00:00,Allow recent command palette items with the same name (#43098)
Ryan Laurie,iethree,2024-05-24 19:03:38+00:00,"Hide creation buttons on search and recents tabs (#42977)

* hide creation buttons on search and recents tabs

* update e2e tests"
Oisin Coveney,oisincoveney,2024-05-24 18:58:34+00:00,"Convert DashboardControls to TS hooks (#42777)

* Convert DashboardControls to TS hooks

* fix types

* Modify dashboard url params to ensure that we keep hash options that haven't changed

* Fix PublicDashboard and DashboardTabs tests

* Use synced dashboard tabs for automatic dashboard, and use normal tabs for those with DashboardControls

* reduce hash option location changes to only the ones we can change through the UI

* Add comment on state management

* Remove console

* Attempt to solve more tests

* Remove loadDashboardParams as a passed prop

* Fix some tests, but will cause unit test to break

* Change names to reflect actual usage

* Fix lint and type issues

* Add simpler url param control, simplify types, and simplify fullscreen hook

* Add two way binding with url params to attempt to fix tests

* Fix unit test + types

* Move folders and fix imports

* Use Record<string, unknown> for refresh hook

* Remove console.log

* Clear query parameters when ParametersList unmounts

* Add comment

* Revert DisplayTheme changes

* Fix weird reloading problem

* Fix reducers test

* add code comments on selecting the tab once tab data is loaded

* add code comments on unsyncing parameters

* Fix e2e tests, move url reset to tabs context

* Fix e2e tests

* Hotfix

---------

Co-authored-by: Uladzimir Havenchyk <uladzimir.dev@gmail.com>
Co-authored-by: Phoomparin Mano <poom@metabase.com>
Co-authored-by: Denis Berezin <denis.berezin@metabase.com>"
